,agent,train_block,train_nll_hybrid,val_nll_hybrid,test_nll_hybrid,train_nll_lr,val_nll_lr,test_nll_lr
0,0,0,80.27370951761392,134.74593870248532,83.19681500414417,78.84546949365526,127.31505518353568,78.77335145349531
1,1,0,44.967123155145714,29.07101385811012,40.82751993254591,43.09543914225878,36.49664867537882,42.82159199119741
2,2,0,26.872451241539874,45.83038851115434,37.49917380734666,33.117133027514896,46.50402516586776,37.790835451359314
3,3,0,51.80710790321379,62.15029160862705,56.292686884141325,50.18567102243865,68.94024580682523,57.83142810967646
4,4,0,25.640713320838366,61.943707385142204,37.641624596121645,26.43368564675344,79.54994748620248,53.49849646955406
5,5,0,27.09963740073946,57.997900544873914,55.336201464882826,26.32114403686669,86.79344036049883,67.12746881881999
6,6,0,72.83205279439348,75.50307007052879,87.01720497740773,61.99780318783489,192.25898901653926,103.64865527127718
7,7,0,26.319446989336438,81.08697536266914,61.9166230403669,29.40625938523122,80.90920283320253,64.56057791281444
8,8,0,76.0212424629059,149.63930845857442,84.14310604731735,73.38453222657148,171.02526422270427,89.19158043958454
9,9,0,72.8826714046637,97.42698425412105,58.255736238078434,76.47716715433533,116.89109919030221,62.89803210203973
10,10,0,47.787344808230905,64.46211820855511,59.99870979995887,48.6772595671761,64.97103184510573,69.96743271439426
11,11,0,38.22393013763298,123.44106944774526,34.037208974919054,35.090777070904835,201.73691670007426,44.493962447449434
12,12,0,78.70439822330468,130.47725586425736,81.22179609336608,75.46472609203292,156.96563624424545,106.72381785253651
13,13,0,79.07944526224591,136.3982746820031,85.14322278302876,73.94318361677684,150.94451509258562,92.65634857190061
14,14,0,0.7099260458248033,71.42172377443238,41.28820423289648,138.62943611198907,138.62943611198907,138.62943611198907
15,15,0,82.79189609875077,140.35351848246125,77.27263221616039,78.21102791255554,152.7994760065698,90.70857365912438
16,16,0,82.94989026591908,141.68344033001796,84.6313345230167,80.59407772539792,149.69496133056919,85.35153012081035
17,17,0,80.40228918878465,126.06319094247931,92.47741956376807,77.24733381525306,160.3178740503291,105.09795806224454
18,18,0,79.9540363166025,137.38318373650122,80.7943522080246,76.20573104782028,144.25707310691828,87.23248991007193
19,19,0,67.4716788798297,34.624395420145035,69.99744635299676,66.76920345585937,93.76853590021628,74.06407171110632
20,20,0,83.39189797868698,125.04771630630178,79.14303551475288,79.78945597900442,135.60076060377696,85.22328003579604
21,21,0,83.58599594766225,134.15417148182377,79.59331841528576,74.92012341273065,148.71196731121142,93.4670313259485
22,22,0,32.83571044560378,109.38638538509045,59.59418745364164,28.63818813629052,126.15482950882253,72.89434915479572
23,23,0,35.70862847862116,72.12818347783355,22.306633993846344,38.17737971792889,170.81973271096084,96.01218520104948
24,24,0,17.968135018144995,65.48579192054531,63.311891146322495,18.97973633214753,94.16481614115888,85.5432321229325
