,agent,train_block,train_nll_hybrid,val_nll_hybrid,test_nll_hybrid,train_nll_lr,val_nll_lr,test_nll_lr
0,0,0,80.59816528121817,125.18184796943333,94.25499833520566,61.05744836490386,127.31505518353568,78.77335145349531
1,1,0,68.0477343570381,82.20939266703716,70.87045080327827,34.084445966125465,36.49664867537882,42.82159199119741
2,2,0,29.959846337054376,63.33711522345167,46.75498505520353,18.064673779619998,46.50402516586776,37.790835451359314
3,3,0,65.7236354836332,138.90626092895002,60.866222417832276,31.887740597793215,68.94024580682523,57.83142810967646
4,4,0,29.190306333695172,123.19573583090055,89.78558065214044,9.665108925976943,60.30776307317831,40.29495701351783
5,5,0,38.18190448958431,112.75326136443812,88.53629132637982,10.74012673027913,86.79344036049883,67.12746881881999
6,6,0,72.85358543680708,149.1693148050672,103.55272087141887,41.973647920041074,191.67907825496218,122.0109853326653
7,7,0,37.92039210446166,117.72610798135796,64.04622303302543,11.44335173639118,71.00674503531614,73.7581328829498
8,8,0,76.24616786159616,139.32254309255305,82.48449068663585,51.7084839803773,171.02526422270427,89.19158043958454
9,9,0,75.33446392312393,105.82401242677639,66.73520897897447,55.005228508220085,111.64580340964801,54.39174944536578
10,10,0,55.10938054337695,86.21888508065209,71.41869129113529,20.3375657000728,56.80645582985423,94.586191047222
11,11,0,39.73008928209086,136.316698450581,41.2118140158387,17.781172792138154,200.0422732769374,55.55555472534416
12,12,0,78.7158151640848,134.20383982301337,82.6462402939015,65.30491811959243,156.96563624424545,106.72381785253651
13,13,0,79.71190276439602,137.93624913143307,83.87078464775583,54.43446806626075,150.94451509258562,92.65634857190061
14,14,0,2.8380978144238487,90.60834938169887,34.33802977442411,138.62943611198907,138.62943611198907,138.62943611198907
15,15,0,83.73984173855916,139.32254309255305,83.87078464775583,70.18062255421962,152.7994760065698,90.70857365912438
16,16,0,83.53323604537545,138.47484538513862,83.65232281161909,65.2092768624241,149.69496133056919,85.35153012081035
17,17,0,81.026834098997,121.07792581451518,88.8449116689651,63.16469183103202,160.3178740503291,105.09795806224454
18,18,0,80.86209291772735,135.9094830126574,85.24143189163613,54.404882585433135,144.25707310691828,87.23248991007193
19,19,0,68.87194948178933,34.55431567588175,67.48469389758425,40.42472497791481,66.39741608666242,74.45351776227109
20,20,0,83.80637371933487,134.7070201450253,83.71143504146265,59.161579982623074,135.60076060377696,85.22328003579604
21,21,0,83.84272710689577,139.32254309255305,83.87078464775583,49.039013217351176,148.71196731121142,93.4670313259485
22,22,0,42.35126743029142,119.73718011141077,74.54332630600048,10.653181542675181,126.15482950882253,72.89434915479572
23,23,0,37.43121714000257,89.0945714708103,25.36115233773335,21.47745963773829,137.14277198471493,56.3233065815163
24,24,0,22.179683646740337,85.7967129539344,74.76092828108436,9.231018674186602,80.94835734789974,97.47406411522475
25,25,0,76.24597878808197,112.95545718963497,81.7932001856275,54.05147083578752,97.4524431996529,74.92216899219743
26,26,0,79.3463269977393,133.1385017641067,86.22246261855912,60.57128655182066,127.39846483197594,72.5961979988991
27,27,0,71.05381394885607,120.49006690237863,87.04131975766813,49.40321563155557,155.0424331387793,98.9422568665038
28,28,0,51.56591554600569,76.75560737629459,60.17943853085481,32.38915715305297,85.84859917460764,57.06309860158101
29,29,0,76.84550986259951,132.86942240394004,86.35469203802062,61.738799261232195,121.92101843988112,97.91787540811876
30,30,0,68.21010200234176,144.10477364270784,95.30140983453607,50.368525279338286,135.90309946016149,82.78843328806369
31,31,0,15.147275734991887,96.07576555138439,96.22322956051444,5.9445395846585845,247.3662842912533,156.71810451999175
32,32,0,80.58694523381416,142.38204427459056,83.68219571178885,58.661712701804476,161.68263664418959,85.7872802076136
33,33,0,54.94314121003675,43.72811818990273,55.25575279010305,11.798185631790567,24.33863473259206,25.024228084272288
34,34,0,73.70542069907312,136.41491635448767,63.45377086666795,29.92095487516715,111.17367364831087,60.63117014510876
35,35,0,51.11190795262085,144.88607242715602,113.94716621445878,31.455335632247888,128.97446236732566,83.8982824502034
36,36,0,77.04027784537037,141.6457695540641,86.1308747864155,51.18280697049728,162.26897702701092,81.50868188279328
37,37,0,79.73489636449018,116.87925108783836,85.12952085342508,48.03429824533281,135.6400498125642,90.68946077420917
38,38,0,83.25475989852573,135.8852144678791,82.3249321146133,58.23382153614182,140.29851912740173,90.71053221830797
39,39,0,60.22374563507836,64.57253717355101,84.03538889089,24.28650444228356,55.529330155736275,102.79332204782861
40,40,0,78.4443582911899,136.21133875873693,82.77130344562792,62.584522922726926,134.25860942477178,71.59490214868316
41,41,0,26.262230289897534,66.04459058703084,53.390992274902494,13.013963603952288,196.9963938594026,107.77501795092086
42,42,0,60.53726555010203,145.012922814362,87.7492518370506,40.78278732751465,186.41413639855588,109.47807391978375
43,43,0,48.4098156626667,103.59017117520843,59.31987144541188,15.849211166753378,72.19703049818094,33.01803585063745
44,44,0,79.54488703322036,140.18401860269853,49.52599025356201,62.85689116789342,145.8480325741159,103.06799347696982
45,45,0,54.31698827725752,90.33853918968038,72.65592719694001,32.23627206805733,51.55064562697049,52.705138906822974
46,46,0,82.13203660796158,123.90574190225864,78.80119172233759,51.5543809966994,110.27274372737595,80.22641429320996
47,47,0,76.94627957153033,96.69008203532013,98.08840443799248,58.62622965781011,75.84768664897743,107.56718980118055
48,48,0,80.70919180464693,114.97737449116565,96.41395067441867,59.04484706628487,125.55808558578975,87.34219759222923
49,49,0,81.98368485539412,133.12315749963514,66.82224162578879,63.730415795081576,139.55593369250005,70.56060901803075
50,50,0,18.06632108499556,93.37083536736684,58.466698255902585,4.231416625677195,81.8528808243579,91.99784144658456
51,51,0,79.80676205035758,141.91736290784195,76.38099797763803,53.35875576554502,157.50579657728667,88.77693322060776
52,52,0,3.066105847947129,172.59597726588538,33.94499039728102,138.62943611198907,138.62943611198907,138.62943611198907
