,agent,model,train_block,train_nll_hybrid,val_nll_hybrid,test_nll_hybrid,train_nll_habit,val_nll_habit,test_nll_habit,train_nll_kdh,val_nll_kdh,test_nll_kdh,train_nll_lr,val_nll_lr,test_nll_lr
22,22,hybrid,0,269.34144501550225,222.9229313300134,279.2694612028398,321.6071846581168,285.47291816373865,323.9338959620812,345.38042961182265,349.00195836446875,350.28469446997985,278.2504463332506,261.0867586761204,298.19917661332136
23,23,hybrid,0,339.9447595101245,342.02941675891805,342.5318392763135,346.57349027998276,346.57349027998276,346.57349027998276,346.3014299988944,347.566050365277,347.1655055127312,314.163471969168,347.54627424666944,348.77062095738006
24,24,hybrid,0,150.5059127253689,259.94208689444764,99.1044802565551,157.06540631504603,268.7707194366586,100.72431154122111,186.48558432796534,811.0377155854553,981.2523907018178,146.4753452200765,406.8040173867766,266.31606824824314
25,25,hybrid,0,163.079413181529,180.98392272986166,177.16124202191318,197.5389129647125,221.04463777032086,213.80072983097853,216.36685147167776,647.5067849262713,581.67506933007,169.7374445282168,294.1618941147772,269.5026522925714
26,26,hybrid,0,306.53086286206826,294.36557851925545,301.12339226086004,339.24205085278817,333.96187267080677,333.19828356696576,342.90068247115295,342.97697058193893,348.3281633512351,297.529004791901,333.45680628637103,331.4908408929541
27,27,hybrid,0,312.8160348385395,286.15267049861745,311.9702790350833,337.8167175500126,336.353681096785,339.06278070182725,344.45046100111585,339.5397990273908,344.8668022589242,308.43531732864227,310.38100345054056,332.1707241040064
28,28,hybrid,0,329.3177732859175,338.0997148576056,323.7172794488072,341.2873959276611,351.2042924588989,340.59532380217684,345.7890799944697,348.0313288899032,345.67699286977404,316.4658466955018,349.0613831606147,341.45789226080745
29,29,hybrid,0,315.58669614393636,323.56678409250185,338.3250160875235,336.1449851101374,332.9245548658579,341.77819740369733,342.87340996545925,341.10958335256595,343.44318453816925,302.14275139490974,335.4846477014024,342.765027769702
30,30,hybrid,0,274.2461770432585,237.39240745974317,275.61810888413623,330.3819562493419,312.62996341369006,328.62211161590733,337.58101812863595,351.9641124185224,355.3339649899269,274.6954694711644,298.83268037361654,319.2096336311464
31,31,hybrid,0,310.36605262550245,307.7083410305579,309.5458632473221,337.88258207164785,344.95721609053095,332.98375141578254,344.7140848606779,349.9768675760931,352.2942159047996,291.4910853598219,315.77885488820823,349.36265630469853
