,agent,model,train_block,train_nll_hybrid,val_nll_hybrid,test_nll_hybrid,train_nll_habit,val_nll_habit,test_nll_habit,train_nll_kdh,val_nll_kdh,test_nll_kdh,train_nll_lr,val_nll_lr,test_nll_lr
19,19,hybrid,0,136.64468316853709,134.34695700760255,134.62693864863388,138.6293961119931,138.6293961119931,138.6293961119931,138.44928795617335,138.6895756367676,139.05000703528026,112.37673703303133,140.80944682362554,144.47118363446793
20,20,hybrid,0,125.935870193668,135.84034646234244,135.37913852392165,138.6293961119931,138.6293961119931,138.6293961119931,138.10855809381113,137.42652276863285,139.55130887961627,110.77142507686693,149.57176611217272,135.86208227034297
21,21,hybrid,0,110.7965127252682,106.84710419827816,93.34741005665737,129.72310774554026,121.80116713614153,122.73316271276323,135.89410672616793,136.62816781736586,152.30115651674703,86.84626887312868,126.70247680882389,118.24924954408809
22,22,hybrid,0,123.54987618063535,122.36984377447882,119.83511341244034,137.05488739273858,135.28672894248075,138.3178577148116,135.63261805834634,137.57094549425187,134.47059619159552,100.75666484719636,139.66321534202882,133.52760233623738
23,23,hybrid,0,92.3881584430668,105.73527976784331,77.69873112467145,108.28727862379196,110.70727857829377,86.3030804529107,134.17593538611067,133.72862287414262,131.70129746293372,87.45432891752029,127.06557160486139,94.57076035849443
24,24,hybrid,0,128.93833562186973,131.46730919941734,130.50639294296255,135.5865205158857,135.07891897921692,135.42439295435582,136.01730603091664,140.89087992833737,139.7634774279646,107.2196881633138,144.90940708306076,146.41671633155948
25,25,hybrid,0,57.36546471035179,68.02820691346571,57.35341174883426,100.55684158435236,102.9971824870143,90.539531279833,137.16376991940848,138.77762938124752,146.26954838263563,41.762813363451535,90.87643721566624,79.30306680540687
26,26,hybrid,0,103.3945069882441,107.51493586195028,114.29636940950067,128.29357263712382,126.28093824482404,127.30545148720117,125.83105410895914,140.49412058330168,143.0359708411045,84.87528167361441,129.27806173756207,151.35732375276874
27,27,hybrid,0,131.90289327349936,121.06138617227288,129.73643454239624,137.92187838657796,130.8845543857542,139.1076552224743,135.86914453105442,130.61977428926323,140.89074141938062,114.54786172050781,138.07093905989285,145.98652867281794
28,28,hybrid,0,130.8541639152169,133.8956007077653,133.45944594306965,138.6293961119931,138.6293961119931,138.6293961119931,137.14533272883745,137.7044410292799,139.15657809490767,113.08490777497992,137.24773491531082,152.43476355302482
29,29,hybrid,0,118.53796954770432,115.96754805229534,119.72269784514799,134.14132278832568,128.55873945187864,138.15244102884327,136.36065137663988,138.82006808935697,141.15671210821571,100.75016080109437,135.97397089090163,140.263610183963
30,30,hybrid,0,116.25718808389297,132.49574648423703,114.5066564591263,130.7961694625157,126.68528271548408,128.0562576098902,135.68865005654402,140.17855367653067,142.3523660988904,93.14927386493463,129.17072918805235,137.36369608406
31,31,hybrid,0,124.11576464157997,133.83999665380168,139.95779968381652,138.6293961119931,138.6293961119931,138.6293961119931,138.26917980035202,139.95117106120387,140.19145915053207,111.18474842669656,144.73968361689398,150.64415392906977
32,32,hybrid,0,133.51755257158925,139.4678191201726,137.52816099210293,138.6293961119931,138.6293961119931,138.6293961119931,138.44928795617298,138.80971180645736,139.29028491199279,115.65418621728617,145.87634016300007,144.3596486477523
33,33,hybrid,0,130.77772474644001,139.11107966780338,129.35627729800837,132.77722340757344,143.60286948848827,132.9345212726024,132.77382392268774,144.9111968278005,128.60427716317764,116.711205854833,146.56065196425328,130.34087947035397
34,34,hybrid,0,137.27978337986445,138.67798531865006,137.85667433325673,138.2067414430001,138.0988350669776,139.22338380112916,137.94845127153803,139.59470862230432,140.35520092346766,124.82545845661365,140.57917652041345,146.34601943472467
35,35,hybrid,0,57.886833208947124,82.32264925086042,84.6628079535047,104.55162519498701,107.12893298803561,123.88143364241562,136.29550254676988,137.83256920410133,141.65126527512822,49.10416884423755,86.8127387226631,89.20716485283991
36,36,hybrid,0,115.46684250667158,120.00449169388453,129.8003782288875,128.99882827145993,136.36922363018635,144.47535877320632,138.3090539018653,137.34690707821625,138.9504605118694,102.76188895570743,128.87020718016976,145.84204073729384
37,37,hybrid,0,116.53640112963065,114.73006993171197,123.67170348769865,134.39562114641774,132.37659148233024,136.8643759932372,138.52937343145084,138.80943390533363,139.08965300407488,92.40401602130922,125.47951922340701,136.05998180157465
38,38,hybrid,0,119.62680675589617,116.90847986847679,121.26883008257964,135.60927946949545,133.355746251459,134.84808495864127,133.5813827418072,152.42856788798247,146.6875426498836,104.4777148154415,154.4534343558497,155.77690847890764
39,39,hybrid,0,112.21092045912734,113.70572227358082,115.54266125613731,123.30592520372824,122.61471208383541,131.0260086860248,129.56171444246004,141.59703975626996,136.2047406043418,104.6245018001434,134.1365042446337,128.35434787675615
40,40,hybrid,0,120.52706363829355,125.95369392359743,122.17760368729472,131.05737463553402,133.88790532109022,135.132251597071,131.23734754768088,157.8192799410372,139.52262753283497,101.32671086415463,172.35340366728144,138.87606603948507
41,41,hybrid,0,135.92961000581795,135.47596185781293,137.48338712187987,138.0529328089588,137.17548965149118,136.85790857212197,138.44928795617335,138.20899326944834,138.80972373872413,124.61580407511656,132.0562391990568,141.26363317871355
42,42,hybrid,0,134.86551565365573,138.55779381389914,141.25437636697666,138.6293961119931,138.6293961119931,138.6293961119931,138.52937343145288,138.6094130085221,138.32923981927286,123.35867805103933,134.33453220689137,138.36324227912087
